date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-01-03,-0.008714517841323488,0.19777624,7,
2020-01-06,0.0062229734551237925,0.15818897,4,0.19777624
2020-01-07,-0.00196332416452516,0.20559387,7,0.15818897
2020-01-08,0.0064916656820579455,0.011573769,6,0.20559387
2020-01-09,0.0042996184261461234,0.7045032,5,0.011573769
2020-01-10,0.00029201736920936305,0.11152999,5,0.7045032
2020-01-13,-0.0035019639662117186,0.2702224,7,0.11152999
2020-01-14,0.006052586827739903,0.115942396,14,0.2702224
2020-01-15,0.008635390178497682,0.025699848,12,0.115942396
2020-01-16,0.005194873384423593,0.41533196,6,0.025699848
2020-01-17,0.0,0.21260902,14,0.41533196
2020-01-21,0.0010526244108080007,0.41485783,14,0.21260902
2020-01-22,0.0012428699042534852,-0.017403007,8,0.41485783
2020-01-23,-0.005060426172450616,0.39173558,12,-0.017403007
2020-01-24,-0.01669878290361093,0.46279612,6,0.39173558
2020-01-27,-0.007612889795088673,0.28252092,7,0.46279612
2020-01-28,0.0049176480022117275,0.05526908,15,0.28252092
2020-01-29,-0.002740413080610127,0.32035208,13,0.05526908
2020-01-30,-0.007261718172056453,0.1360288,8,0.32035208
2020-01-31,-0.019968729787897432,0.6365538,5,0.1360288
2020-02-03,0.00907833169453598,0.115906894,6,0.6365538
2020-02-04,0.017592914133659043,0.37970948,10,0.115906894
2020-02-05,0.019253264280830296,0.05719734,7,0.37970948
2020-02-06,0.000867370771759024,0.23834026,8,0.05719734
2020-02-07,-0.007799491216967436,0.25095347,4,0.23834026
2020-02-10,0.0053371850648509245,0.22752142,12,0.25095347
2020-02-11,0.005985396882554284,0.27178034,11,0.22752142
2020-02-12,0.001247521324541534,0.1534178,10,0.27178034
2020-02-13,-0.004696164178811135,0.14655036,10,0.1534178
2020-02-14,0.0007706146885446685,0.29172018,9,0.14655036
2020-02-18,-0.0035602208607952157,0.42301422,8,0.29172018
2020-02-19,0.0046350185594743465,-0.40846524,7,0.42301422
2020-02-20,-0.006440099192332349,0.4191155,14,-0.40846524
2020-02-21,0.0005808068128996258,0.27427068,12,0.4191155
2020-02-24,-0.03151913089477798,0.2554526,14,0.27427068
2020-02-25,-0.0303484592318769,0.2255622,22,0.2554526
2020-02-26,-0.00010281890126839777,0.3187208,16,0.2255622
2020-02-27,-0.03397854734103489,0.091224775,7,0.3187208
2020-02-28,-0.012897141758900887,0.14199497,13,0.091224775
2020-03-02,0.04686342564031354,0.14354135,7,0.14199497
2020-03-03,-0.024858424169873383,0.08248276,10,0.14354135
2020-03-04,0.05764734321332665,-0.04993342,6,0.08248276
2020-03-05,-0.023202003386977754,0.2826114,11,-0.04993342
2020-03-06,-0.005323964120988345,0.11572802,8,0.2826114
2020-03-09,-0.05198160463863244,0.17266692,8,0.11572802
2020-03-10,0.03431068416861072,0.3477064,19,0.17266692
2020-03-11,-0.038211291807701886,0.05443877,6,0.3477064
