market_date,n_tweets,sentiment_mean
2020-01-01,1,0.773842
2020-01-02,5,0.4902174
2020-01-03,7,0.19777624
2020-01-04,3,0.36047402
2020-01-05,1,0.03693697
2020-01-06,4,0.15818897
2020-01-07,7,0.20559387
2020-01-08,6,0.011573769
2020-01-09,5,0.7045032
2020-01-10,5,0.11152999
2020-01-11,2,0.45167387
2020-01-13,7,0.2702224
2020-01-14,14,0.115942396
2020-01-15,12,0.025699848
2020-01-16,6,0.41533196
2020-01-17,14,0.21260902
2020-01-18,5,0.37318572
2020-01-20,8,0.3031807
2020-01-21,14,0.41485783
2020-01-22,8,-0.017403007
2020-01-23,12,0.39173558
2020-01-24,6,0.46279612
2020-01-25,3,0.7455692
2020-01-26,3,0.19562988
2020-01-27,7,0.28252092
2020-01-28,15,0.05526908
2020-01-29,13,0.32035208
2020-01-30,8,0.1360288
2020-01-31,5,0.6365538
2020-02-01,3,0.48421535
2020-02-02,2,-0.0405083
2020-02-03,6,0.115906894
2020-02-04,10,0.37970948
2020-02-05,7,0.05719734
2020-02-06,8,0.23834026
2020-02-07,4,0.25095347
2020-02-09,2,0.34485894
2020-02-10,12,0.22752142
2020-02-11,11,0.27178034
2020-02-12,10,0.1534178
2020-02-13,10,0.14655036
2020-02-14,9,0.29172018
2020-02-15,2,0.3163686
2020-02-16,1,0.8682608
2020-02-17,8,0.3676373
2020-02-18,8,0.42301422
2020-02-19,7,-0.40846524
2020-02-20,14,0.4191155
2020-02-21,12,0.27427068
2020-02-22,5,0.73508626
2020-02-23,5,0.37546718
2020-02-24,14,0.2554526
2020-02-25,22,0.2255622
2020-02-26,16,0.3187208
2020-02-27,7,0.091224775
2020-02-28,13,0.14199497
2020-02-29,6,0.6987358
2020-03-01,2,0.01274227
2020-03-02,7,0.14354135
2020-03-03,10,0.08248276
2020-03-04,6,-0.04993342
2020-03-05,11,0.2826114
2020-03-06,8,0.11572802
2020-03-07,1,-0.8409639
2020-03-08,4,0.36549452
2020-03-09,8,0.17266692
2020-03-10,19,0.3477064
2020-03-11,6,0.05443877
2020-03-12,15,0.26070586
2020-03-13,4,0.4483661
2020-03-14,3,0.16396865
2020-03-15,3,0.077643685
2020-03-16,7,0.19491026
2020-03-17,15,0.17844298
2020-03-18,4,0.45428962
2020-03-19,12,0.46706557
2020-03-20,9,0.44338557
2020-03-21,5,0.15611656
2020-03-22,2,-0.19233096
2020-03-23,11,0.29252556
2020-03-24,7,0.011030691
2020-03-25,11,-0.08327489
2020-03-26,12,0.29886064
2020-03-27,11,0.39457563
2020-03-28,3,0.7232752
2020-03-29,5,0.30467826
2020-03-30,7,0.39365014
2020-03-31,9,0.23929612
2020-04-01,9,0.11042979
2020-04-02,8,0.27054256
2020-04-03,10,0.09657836
2020-04-05,2,0.78778434
2020-04-06,11,0.37838128
2020-04-07,10,0.0010824979
2020-04-08,4,0.34359637
2020-04-09,10,0.19337854
2020-04-10,12,-0.08968297
2020-04-11,3,0.38960537
2020-04-12,2,0.104920596
2020-04-13,6,-0.030085655
2020-04-14,5,0.27917704
2020-04-15,8,0.11632929
