,Source.Name,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
344,FinancialTimesv3_1206.csv,4898091,01/12/2020 00:37, ,1.33357e+18,en,20,1,5,6,SocialFlow,Trump exit prompts calls for arms control offer to Kim Jong Un https://t.co/iKsV8eOwTY
343,FinancialTimesv3_1206.csv,4898091,01/12/2020 01:40, ,1.33359e+18,en,21,0,3,16,SocialFlow,Indian bank shake-up proposal stirs concern over corporate power https://t.co/XM4UajYWtq
342,FinancialTimesv3_1206.csv,4898091,01/12/2020 01:51, ,1.33359e+18,en,11,0,2,7,SocialFlow,Global investors raise concerns over sale of bankrupt Indian lender https://t.co/gcZVtwjGyS
340,FinancialTimesv3_1206.csv,4898091,01/12/2020 04:00, ,1.33362e+18,en,8,0,0,1,SocialFlow,"Follow our live coronavirus coverage:
🇨🇳China's factory activity hit a 10-year high in November
🇮🇹Italy has approved a €8bn relief package for businesses
🇱🇰Six have died in a Sri Lanka prison riot over rising infections
Read more: https://t.co/zDWPtOfFmK"
337,FinancialTimesv3_1206.csv,4898091,01/12/2020 06:00, ,1.33365e+18,en,28,1,6,9,SocialFlow,"Donald Trump's most trusted coronavirus adviser, who opposed pandemic mitigation measures, has resigned https://t.co/jNDl0T9VIH"
336,FinancialTimesv3_1206.csv,4898091,01/12/2020 06:20, ,1.33366e+18,en,15,0,2,8,SocialFlow,Arcadia collapsed into administration on Monday. What happened? https://t.co/fud0hZB92W
335,FinancialTimesv3_1206.csv,4898091,01/12/2020 07:40, ,1.33368e+18,en,71,10,5,29,SocialFlow,Exclusive: Wirecard was audited by EY for more than a decade. Germany's watchdog suspects the auditor knew it issued a 'factually inaccurate' audit https://t.co/gB38IlJA3H
333,FinancialTimesv3_1206.csv,4898091,01/12/2020 08:30, ,1.33369e+18,en,16,2,2,6,SocialFlow,Sebastian Kurz has outlawed 'political Islam' in Austria. But he fell short of defining the term https://t.co/k5rg8aTLO1
330,FinancialTimesv3_1206.csv,4898091,01/12/2020 10:00, ,1.33371e+18,en,14,1,1,4,SocialFlow,"Christian Mumenthaler, chief executive of Swiss Re, said governments had not reacted to Covid-19 in the way many insurers had anticipated https://t.co/UeGOTiN4iR"
326,FinancialTimesv3_1206.csv,4898091,01/12/2020 11:17, ,1.33373e+18,en,0,0,0,3,Twitter Web App,RT @ClaerB: Following the collapse of #Debenhams and #Arcadia what hope is there for the British #HighStreet ? As retailers (and pubs) emer…
324,FinancialTimesv3_1206.csv,4898091,01/12/2020 11:30, ,1.33374e+18,en,18,0,1,3,SocialFlow,"An employee at Talbot, a Lloyd’s of London underwriter, who suffered ‘significant incidents of bullying’ has won an employment tribunal lawsuit https://t.co/WvTefQoAbq"
323,FinancialTimesv3_1206.csv,4898091,01/12/2020 11:50, ,1.33374e+18,en,18,1,1,4,SocialFlow,How has your retail business been impacted by recent lockdowns? Join @claerb and @AndyBounds at 12 noon UK time for the live Q&amp;A https://t.co/SpcJ4F4sFy https://t.co/uZvuYvNv44
322,FinancialTimesv3_1206.csv,4898091,01/12/2020 12:00, ,1.33374e+18,en,6,0,1,3,SocialFlow,"‘Brexit-buying’ boosted growth in UK manufacturing activity in November, despite tighter coronavirus restrictions https://t.co/JfAx54R2Ro"
321,FinancialTimesv3_1206.csv,4898091,01/12/2020 12:30, ,1.33375e+18,en,19,0,1,2,SocialFlow,Business schools are investing in resources to support student wellness as reports of mental health conditions have increased: ‘We don’t want alumni to get to 35 and burn out’. https://t.co/xoRXOqitUT https://t.co/eNTwg0ELuB
320,FinancialTimesv3_1206.csv,4898091,01/12/2020 13:00, ,1.33376e+18,en,15,2,3,2,SocialFlow,"Insurers did not foresee how far governments would go to protect their populations, according to the head of reinsurer Swiss Re https://t.co/H43oZsIbW5"
318,FinancialTimesv3_1206.csv,4898091,01/12/2020 14:00, ,1.33377e+18,en,26,1,2,12,SocialFlow,"Sweden has made another Covid policy U-turn, bowing to its critics. https://t.co/iEFwDQVEDA"
317,FinancialTimesv3_1206.csv,4898091,01/12/2020 14:19, ,1.33378e+18,en,0,0,0,3,Twitter Web App,"RT @ftopinion: Gideon Rachman: The perils and pitfalls of building multiracial democracies. Maybe in the US, India and Brazil the largest e…"
316,FinancialTimesv3_1206.csv,4898091,01/12/2020 14:30, ,1.33378e+18,en,17,5,3,7,SocialFlow,"Joe Biden’s goal to eliminate carbon from the electricity sector in 15 years would imperil his presidency, said the head of Vistra, the US's leading independent power producer https://t.co/D7eQDmJWeH https://t.co/No2mcuf8ql"
