,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,positive SA value,Negative SA values,Compound,source,tweet
2127,4898091,2020-02-01 00:00:15+00:00, ,1.2234E+18,en,0,0,0,27,1,-1,0,SocialFlow,RT @HenryJFoy: The building of new routes across the Russia-China in recent years has symbolised the burgeoning trade and political ties be…
2122,4898091,2020-02-01 03:17:06+00:00, ,1.22345E+18,en,16,0,2,8,1,-1,0,SocialFlow,"The powder keg of this year's Sundance Film Festival? Promising Young Woman, starring Carey Mulligan – with an 'audacious pitch-black climax' that will be a huge talking point when it comes to cinemas in the spring. Read more: https://t.co/jNWYysnTM1"
2118,4898091,2020-02-01 05:24:55+00:00, ,1.22348E+18,en,16,0,1,6,2,-1,1,SocialFlow,Coronavirus freezes return of China’s legions of migrant workers https://t.co/u2FIukmpFH
2114,4898091,2020-02-01 09:06:04+00:00, ,1.22353E+18,en,19,0,0,4,1,-1,0,SocialFlow,"They own 27% of Asos, 220,000 acres of Scotland – and now a gorgeous eight-room hideaway in the Highlands https://t.co/lGbYry5fdE"
2113,4898091,2020-02-01 10:03:05+00:00, ,1.22355E+18,en,24,1,1,6,1,-1,0,SocialFlow,What does it mean to be a man? The Barbican in London unveils its new and illuminating exhibition: Masculinities https://t.co/xnacde7gDy https://t.co/qxclEqah5t
2112,4898091,2020-02-01 10:26:06+00:00, ,1.22355E+18,en,5,1,0,3,1,-1,0,SocialFlow,French retailer sued for £115m by liquidator to Comet https://t.co/OcDt5NsP90
2111,4898091,2020-02-01 12:10:05+00:00, ,1.22358E+18,en,35,2,3,7,,,,SocialFlow,If Siberia were a country it would be the world's biggest – and it remains all but undiscovered by tourism https://t.co/NFVW3BZ2i1
2110,4898091,2020-02-01 12:15:41+00:00, ,1.22358E+18,en,18,0,1,4,,,,SocialFlow,Indian markets tumble after budget disappoints https://t.co/y6PDrYv1kM
2109,4898091,2020-02-01 12:38:55+00:00, ,1.22359E+18,en,54,0,3,25,,,,SocialFlow,"Philip Stephens: The Brexit vote was not framed as a choice between the US and the EU. The outcome, though, is the same https://t.co/f0hd1Lzh8z"
2107,4898091,2020-02-01 14:02:03+00:00, ,1.22361E+18,en,12,0,1,4,,,,SocialFlow,Heading to Sicily? Don’t miss these Catania eateries https://t.co/6Gl7wz7HDR
2105,4898091,2020-02-01 14:47:44+00:00, ,1.22362E+18,en,14,1,0,7,,,,SocialFlow,"""We’re on three-month contracts, so it might have been possible to say ‘no’ to doing this flight, but it could have meant losing work in future."" https://t.co/i2mLbSgo5C"
2103,4898091,2020-02-01 17:39:34+00:00, ,1.22366E+18,en,34,2,6,13,,,,SocialFlow,"The UK has formally left the EU. But the Brexit process, having played out for three-and-a half years, has already left an indelible mark. The FT charted the impact of the Brexit years — so far 👇 https://t.co/CKWVI95aPW"
2102,4898091,2020-02-01 18:15:02+00:00, ,1.22367E+18,en,25,4,7,11,,,,SocialFlow,Janan Ganesh: 'It is hard to do anything kinder for the environment than have fewer children' https://t.co/Ih6ix7wnFF
2098,4898091,2020-02-01 18:53:27+00:00, ,1.22368E+18,en,21,2,0,6,,,,SocialFlow,WeWork appoints property veteran as chief executive https://t.co/WOHrCBDCFK
2093,4898091,2020-02-01 20:33:43+00:00, ,1.22371E+18,en,4,1,1,3,,,,SocialFlow,Democrats battle in Iowa over ‘electability’ question https://t.co/MLhzhwBpXY
2091,4898091,2020-02-01 22:05:05+00:00, ,1.22373E+18,en,6,1,1,2,,,,SocialFlow,"In deepest rural Rajasthan, style and sustainability have shaken hands. @HTSI gets a first look at a reborn Chhatrasagar retreat https://t.co/6f10AERjLR"
2083,4898091,2020-02-02 05:33:25+00:00, ,1.22384E+18,en,20,2,1,13,,,,SocialFlow,Asset managers enjoy bumper 16% pay surge https://t.co/zHXXru8G0s
2077,4898091,2020-02-02 13:09:36+00:00, ,1.22396E+18,en,24,3,1,15,,,,SocialFlow,China unveils emergency market support in response to deadly coronavirus https://t.co/uMkKIyP3r2
2076,4898091,2020-02-02 14:22:30+00:00, ,1.22397E+18,en,34,1,6,18,,,,SocialFlow,Steven Mnuchin is wrong about climate economics https://t.co/QuUmhhKHhp
2074,4898091,2020-02-02 15:05:02+00:00, ,1.22399E+18,en,17,1,0,2,,,,SocialFlow,Luke Edward Hall: Feature walls belong in DIY programmes from the early 2000s — not in your home today https://t.co/XTFNBGHjXy
2072,4898091,2020-02-02 16:46:39+00:00, ,1.22401E+18,en,24,4,0,15,,,,SocialFlow,Man shot dead after London ‘terror’ attack https://t.co/Ed8gafdUaz
2070,4898091,2020-02-02 16:49:00+00:00, ,1.22401E+18,en,33,5,3,20,2,-1,1,SocialFlow,Tesla short-sellers take record losses in battle with Elon Musk https://t.co/y96LTuNN2E
2069,4898091,2020-02-02 17:01:07+00:00, ,1.22401E+18,en,16,1,0,5,,,,SocialFlow,"‘It was utterly exhausting. Sometimes I went home almost despondent. How could I ever master this? But slowly and steadily, I was learning’ 
https://t.co/COK1UxpIdV"
2068,4898091,2020-02-02 17:19:58+00:00, ,1.22402E+18,en,17,2,8,7,,,,SocialFlow,Can Argentina escape a debt default? https://t.co/inddQO4RLk
2067,4898091,2020-02-02 17:42:22+00:00, ,1.22403E+18,en,18,0,0,6,,,,SocialFlow,EU member states reject cuts to development fund https://t.co/nI9mVaOl5t
2063,4898091,2020-02-02 19:47:28+00:00, ,1.22406E+18,en,15,2,3,13,,,,SocialFlow,Republicans look to turn impeachment against Biden https://t.co/rqeNEHffIa
2059,4898091,2020-02-02 22:03:07+00:00, ,1.22409E+18,en,26,1,2,3,,,,SocialFlow,What lengths would you go to in pursuit of the perfect pot plant? https://t.co/2PhHG835YE
2058,4898091,2020-02-02 22:34:45+00:00, ,1.2241E+18,en,23,1,6,16,1,-2,-1,SocialFlow,UK and EU begin sparring in mammoth trade talks fight https://t.co/C35vBcc1wI
2055,4898091,2020-02-03 02:13:05+00:00, ,1.22415E+18,en,20,1,2,15,,,,SocialFlow,Chinese stocks plunge as coronavirus fears grip market https://t.co/IuKw6G3D9A
2054,4898091,2020-02-03 05:00:06+00:00, ,1.2242E+18,en,39,3,1,30,,,,SocialFlow,"Rana Foroohar: We might be about to see something new: a global slowdown led by China, rather than the US https://t.co/5FeyxdCu1w"
2053,4898091,2020-02-03 05:20:03+00:00, ,1.2242E+18,en,19,1,2,17,2,-1,1,SocialFlow,US pressure on South Korea to contribute more to the cost of its defence has dented British hopes of winning an $800m naval helicopter contract https://t.co/4hhDH8miNG
2050,4898091,2020-02-03 06:20:06+00:00, ,1.22422E+18,en,13,0,0,12,1,-3,-2,SocialFlow,"Global dealmaking got off to its slowest start in seven years in 2020, with $164bn worth of mergers and acquisitions making January the quietest month since April 2013 https://t.co/oR0Rysl6XN https://t.co/8ukWh7pY6Q"
2046,4898091,2020-02-03 07:30:03+00:00, ,1.22423E+18,en,24,0,6,12,,,,SocialFlow,"Boris Johnson will outline his vision for future EU relations in a speech on Monday that will argue against ‘the compulsion of a treaty’. Michel Barnier, the EU’s chief Brexit negotiator, will say the opposite https://t.co/pvQU5LA3Uq"
2044,4898091,2020-02-03 08:00:10+00:00, ,1.22424E+18,en,10,0,2,8,,,,SocialFlow,Patrick Jenkins: Taking an Uber has entered the lexicon as surely as making a Xerox. But one thing ride-hailing services have failed to do is make a profit. Hopes are pinned on autonomous cars. But there is a snag https://t.co/NTxv2qmmUR
2042,4898091,2020-02-03 08:30:06+00:00, ,1.22425E+18,en,59,2,5,34,,,,SocialFlow,"‘The economic cost of building siloed systems in a world where citizens travel globally is really stupid, and where crime travels globally is even more stupid, and where technology is completely global is even three times more stupid.’ https://t.co/zkgso2e9Jt"
2040,4898091,2020-02-03 09:00:12+00:00, ,1.22426E+18,en,17,1,0,13,,,,SocialFlow,"About half of Japan’s 3,700 listed companies are trading below book value. Activist investors see an opportunity — and are beginning to mount public shaming media campaigns and hostile takeover bids https://t.co/hORN0Ss55S"
2039,4898091,2020-02-03 09:20:03+00:00, ,1.22426E+18,en,15,1,2,6,,,,SocialFlow,Both Donald Trump and Boris Johnson have pointed to a sweeping bilateral trade deal as one of the biggest prizes of Brexit. But the talks may falter earlier than either expected over security and car tariffs https://t.co/ZVdWwwV8ub
2037,4898091,2020-02-03 10:00:06+00:00, ,1.22427E+18,en,23,0,5,6,,,,SocialFlow,"FT Exclusive: Nissan has drawn up a plan to pull out of mainland Europe if Brexit leads to tariffs on car exports — and focus instead on the UK, where the Japanese company believes it could sell one in five cars https://t.co/JTVuDL9n7x https://t.co/E7EXceUscd"
2036,4898091,2020-02-03 10:20:04+00:00, ,1.22428E+18,en,17,0,3,5,,,,SocialFlow,"The biggest strain between the two countries — over Huawei’s access to Britain’s 5G networks — came to the forefront last week, as London decided to give the Chinese telecommunications company a limited role in building its platforms https://t.co/QGpBXNL2Rr"
2033,4898091,2020-02-03 11:20:06+00:00, ,1.22429E+18,en,104,8,8,32,,,,SocialFlow,"Investors betting against Tesla suffered record losses of $5.8bn in January after the stock hit a new high, marking a win for chief executive Elon Musk in a long-running battle with short-sellers https://t.co/OBv4TV0hJz"
2032,4898091,2020-02-03 11:40:06+00:00, ,1.2243E+18,en,27,3,1,17,,,,SocialFlow,"Beijing is poised to pump extra cash into China’s financial system – about Rmb1.2tn ($173bn) – on Monday, as part of a package of emergency measures to shield the economy from the effects of the deadly coronavirus outbreak https://t.co/guIbWZqovB"
2031,4898091,2020-02-03 11:41:14+00:00, ,1.2243E+18,en,0,0,0,27,,,,SocialFlow,"RT @Laura_K_Hughes: New: The government department run by Liz Truss, the minister for women, has seen its gender pay gap widen over the pas…"
2029,4898091,2020-02-03 12:20:04+00:00, ,1.22431E+18,en,23,3,4,7,,,,SocialFlow,"Pilita Clark: If someone is confident enough to wear an old T-shirt in a building full of suits, we are inclined to admire them because we think they have the power or ability to risk it https://t.co/hIgD0W3ncI"
2028,4898091,2020-02-03 12:40:04+00:00, ,1.22431E+18,en,24,0,0,7,,,,SocialFlow,"Vegan eateries have popped up across London, catering to those who don’t eat meat or use animal products. Here is a guide to some top vegan offerings for breakfast, lunch and dinner in and around the capital: https://t.co/Ue7skFUZ7P"
2025,4898091,2020-02-03 13:40:06+00:00, ,1.22433E+18,en,18,3,5,9,,,,SocialFlow,"Janan Ganesh: Even if an infant grows to become a Prius-driving vegan who forswears air travel and line-dries the laundry, he or she will still contribute to climate change https://t.co/3lJKdaF0Ws"
2024,4898091,2020-02-03 14:02:57+00:00, ,1.22433E+18,en,0,0,0,5,,,,SocialFlow,"RT @muradahmed: Delighted to say, the @FT Business of Football Summit is back! March 5, London. 

Stellar speaker list includes:
- Andrea A…"
2019,4898091,2020-02-03 15:00:13+00:00, ,1.22435E+18,en,10,4,3,9,,,,SocialFlow,"Turkey’s president has warned Russia not to 'stand in the way' as it seeks to retaliate for the killing of six Turkish soldiers by Syrian government forces
https://t.co/MP8Z43Va8V"
2018,4898091,2020-02-03 15:05:06+00:00, ,1.22435E+18,en,29,7,6,26,,,,SocialFlow,"Goldman Sachs is in advanced talks with Amazon to offer small business loans in the US, as the Wall Street bank turns to Big Tech to break into mainstream areas of financial services https://t.co/Z9QFK5ItPK https://t.co/ajS4WkoVrC"
2016,4898091,2020-02-03 15:22:05+00:00, ,1.22435E+18,en,0,0,0,6,,,,SocialFlow,"RT @Jderbyshire: ""I see myself not as an architect, but as a poet"" - a new series of the funny and wise #FTWorkTribes from @emmavj and @and…"
2013,4898091,2020-02-03 16:03:09+00:00, ,1.22436E+18,en,0,0,0,5,,,,SocialFlow,RT @andrewtghill: What if your great idea is the next Black Mirror episode? My column on how to pre-empt a tech dystopia https://t.co/0U5OP…
2006,4898091,2020-02-03 17:40:10+00:00, ,1.22439E+18,en,39,9,3,20,,,,SocialFlow,"Sales of black tea have seen a steep decline 
https://t.co/2bSljKibPy https://t.co/i0l5JtGfSK"
2003,4898091,2020-02-03 18:42:01+00:00, ,1.2244E+18,en,0,0,0,8,,,,SocialFlow,RT @JosephineCumbo: Worried about your #pension transfer advice?  Here’s what to do. https://t.co/dMsaxCozVn
2001,4898091,2020-02-03 20:55:21+00:00, ,1.22444E+18,en,24,0,2,21,,,,SocialFlow,Oil slides into bear market as coronavirus fears intensify https://t.co/5jjOd1L8qY
2000,4898091,2020-02-03 20:55:22+00:00, ,1.22444E+18,en,14,1,3,5,,,,SocialFlow,Boris Johnson’s two visions of Britain: start-up nation or cohesion country https://t.co/k9cumgwTA8
1997,4898091,2020-02-03 22:00:39+00:00, ,1.22445E+18,en,18,1,1,14,,,,SocialFlow,Alphabet shares slides as ad growth disappoints https://t.co/YLiq9MgOvH
1995,4898091,2020-02-03 22:18:28+00:00, ,1.22446E+18,en,14,1,4,3,,,,SocialFlow,US conservative pundit Rush Limbaugh reveals lung cancer https://t.co/9S52bBx474
1993,4898091,2020-02-03 23:34:33+00:00, ,1.22448E+18,en,5,3,0,5,,,,SocialFlow,SoftBank-backed hotel group Oyo curbs growth ambitions https://t.co/CIBcizH3E6
1992,4898091,2020-02-04 00:00:04+00:00, ,1.22448E+18,en,10,4,1,4,,,,SocialFlow,"Good morning, Hong Kong. While you were sleeping, this was our most read story: https://t.co/tDwwP4Bi3b"
