,Source.Name,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
147,FinancialTimesv3_0703.csv,4898091,01/07/2020 01:16, ,1.27812e+18,en,24,2,5,16,SocialFlow,"Coronavirus latest: Record increase for Texas propels daily US case count above 44,000 https://t.co/sBOfyuwsLg"
145,FinancialTimesv3_0703.csv,4898091,01/07/2020 03:04, ,1.27815e+18,en,70,6,1,44,SocialFlow,Huawei and ZTE classified as security threat to US https://t.co/09SfQ3Zkws
143,FinancialTimesv3_0703.csv,4898091,01/07/2020 05:27, ,1.27818e+18,en,17,0,0,9,SocialFlow,Global dealmaking drops to lowest level in over a decade https://t.co/UzvnyVZRQM
144,FinancialTimesv3_0703.csv,4898091,01/07/2020 05:27, ,1.27818e+18,en,23,2,3,12,SocialFlow,Tourism: can Europe save its summer? https://t.co/XtE3m7UkGS
142,FinancialTimesv3_0703.csv,4898091,01/07/2020 05:29, ,1.27818e+18,en,11,0,0,5,SocialFlow,NEC sees Huawei’s woes as chance to crack 5G market https://t.co/z5f1kmcD28
139,FinancialTimesv3_0703.csv,4898091,01/07/2020 05:31, ,1.27818e+18,en,12,2,3,8,SocialFlow,Vladimir Putin nears end-game in drive to revamp constitution https://t.co/qQdePHIKME
133,FinancialTimesv3_0703.csv,4898091,01/07/2020 09:30, ,1.27824e+18,en,35,3,2,7,Echobox,"Hello London, while you were sleeping, our most-read story was this piece on Wirecard's customer base  https://t.co/rRs5Cy5fWA"
129,FinancialTimesv3_0703.csv,4898091,01/07/2020 11:18, ,1.27827e+18,en,66,5,4,35,Echobox,"More than 100 UK company chiefs, entrepreneurs and business groups have written to UK prime minister Boris Johnson warning that it would be “hugely damaging” to the economy if Britain leaves the EU without a deal at the end of this year  https://t.co/6LLwffMO5K"
128,FinancialTimesv3_0703.csv,4898091,01/07/2020 11:33, ,1.27828e+18,en,15,2,1,4,Echobox,"France's Les Républicains, which once dominated postwar French politics, are still searching for a credible challenger to Emmanuel Macron https://t.co/lpwNKVw9v2"
127,FinancialTimesv3_0703.csv,4898091,01/07/2020 12:05, ,1.27828e+18,en,28,6,8,41,Echobox,Hong Kong police make first arrests following a sweeping new national security law imposed on the Asian financial hub by Beijing https://t.co/K5Jd2iy2O8
121,FinancialTimesv3_0703.csv,4898091,01/07/2020 14:05, ,1.27831e+18,en,3,0,0,1,Twitter Web App,"Following the spread of Covid-19, insurers have been changing the way they cover business customers https://t.co/dYNeG2MytU"
119,FinancialTimesv3_0703.csv,4898091,01/07/2020 14:43, ,1.27832e+18,en,9,0,2,5,Echobox,"No roaring crowd, no celebratory hugs. Here's what going to a Premier League football match is like right now 
https://t.co/45VizK7xE3"
118,FinancialTimesv3_0703.csv,4898091,01/07/2020 14:43, ,1.27832e+18,en,0,0,0,42,Twitter Web App,"RT @ftopinion: Congolese face the grim reality of a dysfunctional state crippled by decades of corruption and conflict - Martin Fayulu, who…"
