,Source.Name,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
100,FinancialTimesv3_0502.csv,4898091,01/05/2020 01:30, ,1.25602e+18,en,12,0,3,2,SocialFlow,"Are you binge-watching shows on Quibi? Despite its $2bn budget, the streaming platform is surprisingly unpopular  https://t.co/IRGoNm5WDE"
4073,FinancialTimesv3_May.csv,4898091,01/05/2020 02:00, ,1.25603e+18,en,12,0,1,5,SocialFlow,"In the latest Behind the Money podcast, we talk about how the US government’s small business bailout programme has had problems from the start, with complaints that large companies were getting the money promised to smaller ones https://t.co/nwso8eXvda https://t.co/Atkynh3lKb"
4071,FinancialTimesv3_May.csv,4898091,01/05/2020 04:20, ,1.25606e+18,en,227,12,15,112,SocialFlow,"The US coronavirus death toll increased by more than 2,000 for the third straight day, Boeing will not seek government funding and South Korea suffered its first trade deficit in eight years. Follow our live coverage: https://t.co/8jHTlX54G5"
96,FinancialTimesv3_0502.csv,4898091,01/05/2020 05:01, ,1.25607e+18,en,43,8,16,34,Twitter Web App,"When pressed on what had given him the confidence to claim that Covid-19 originated from a scientific laboratory in Wuhan, Donald Trump said: ‘I’m not allowed to tell you that.’ https://t.co/1uZ0nHP25B"
95,FinancialTimesv3_0502.csv,4898091,01/05/2020 05:22, ,1.25608e+18,en,22,4,2,16,Twitter Web App,"Keeping Amazon workers healthy and products moving could cost $4bn or more, wiping out any jump in sales, the ecommerce company warned, as its stock closed Thursday at an all-time high https://t.co/5wRLNb7Ze2"
91,FinancialTimesv3_0502.csv,4898091,01/05/2020 06:40, ,1.2561e+18,en,25,2,2,8,Twitter Web App,"It’s the question on everyone’s mind: when, and how, will lockdowns end? Readers had the opportunity on Thursday to ask FT journalists. Here are the highlights: https://t.co/LVZlFxHdPE"
4079,FinancialTimesv3_May1000.csv,4898091,01/05/2020 06:40, ,1.2561e+18,en,25,2,2,8,,
90,FinancialTimesv3_0502.csv,4898091,01/05/2020 07:01, ,1.2561e+18,en,208,16,33,171,Twitter Web App,"Coronavirus is killing black Caribbean people at almost three times the rate of white people in England’s hospitals, and not because, as in the US, the victims live in areas where the virus was most prevalent https://t.co/z0AoSAxTeg https://t.co/3g5ycbVpEP"
4063,FinancialTimesv3_May.csv,4898091,01/05/2020 07:20, ,1.25611e+18,en,26,2,2,14,Twitter Web App,"Boris Johnson pledged to reveal a ‘road map’ next week for Britain to leave coronavirus lockdown, but warned that he would not lift restrictions too soon and risk a ‘second spike’ of infections https://t.co/irbjynONLO"
4061,FinancialTimesv3_May.csv,4898091,01/05/2020 08:02, ,1.25612e+18,en,22,0,3,15,Twitter Web App,Royal Bank of Scotland’s bad debt provisions increased almost tenfold to £802m in the first quarter as the bank braced for the fallout of the coronavirus pandemic https://t.co/g3hpmUh7la
4060,FinancialTimesv3_May.csv,4898091,01/05/2020 08:20, ,1.25612e+18,en,553,152,73,244,Twitter Web App,European farmers are facing butter and beef mountains and wine and milk lakes as coronavirus devastates demand. They’re asking their neighbours to help — by filling their plates https://t.co/ndwT5J5vwP
76,FinancialTimesv3_0502.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,0,0,0,0,Ads Uploader for Twitter,The payments group had predicted vindication from a special audit — it did not arrive. https://t.co/1xw6laj2ph
4098,FinancialTimesv3_May1000.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,1,0,0,0,,
4101,FinancialTimesv3_May1000.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,0,0,0,0,,
63,FinancialTimesv3_0502.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,1,0,0,0,Ads Uploader for Twitter,The payments group had predicted vindication from a special audit — it did not arrive. https://t.co/s7hxGpMwiv
4093,FinancialTimesv3_May1000.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,2,0,0,3,,
593,FinancialTimesv3_0509.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,1,0,2,4,Ads Uploader for Twitter,Federal Reserve chairman Jay Powell dispelled investors’ hopes for a quick economic rebound from the coronavirus crisis. ‘The chances are that it won’t go right back to where we were.’ https://t.co/gJyThXDXfG
4038,FinancialTimesv3_May.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,2,1,1,0,Ads Uploader for Twitter,"""Outbreak of coronavirus and the collapse of economic growth for the first time in decades had dashed the Communist party’s hopes of declaring victory by the end of this year"" says economists. https://t.co/ch8BK6PLRe"
4056,FinancialTimesv3_May.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,93,11,31,42,Ads Uploader for Twitter,How close is the UK to easing coronavirus lockdown? https://t.co/CVaH0MMqld
4055,FinancialTimesv3_May.csv,4898091,01/05/2020 08:48, ,1.25613e+18,en,13,2,4,3,Ads Uploader for Twitter,"Boris Johnson’s government is set to issue detailed “workplace by workplace” guidance on how Britain can safely go back to work, as the prime minister prepares to announce that coronavirus is being contained. https://t.co/cqmjnEVS6g"
