,Source.Name,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
182,Forbesv3_1004.csv,91478624.0,01/10/2020 01:28, ,1.31146e+18,en,37.0,3.0,2.0,16.0,Sprinklr,"After becoming CEO in 2012, David Coleman turned the College Board into a seemingly invincible cash machine. But 2020 has been its undoing https://t.co/Eb0LU8MJEu https://t.co/YLwXch6oxe"
181,Forbesv3_1004.csv,91478624.0,01/10/2020 01:41, ,1.31147e+18,en,106.0,9.0,19.0,28.0,Twitter Media Studio,"Joe Biden’s campaign received contributions from 16 billionaires and their spouses in July and August, per a review of records filed with the Federal Election Commission https://t.co/0nb6c73zQf https://t.co/r42t6b7fRR"
180,Forbesv3_1004.csv,91478624.0,01/10/2020 01:44, ,1.31147e+18,en,348.0,6.0,23.0,65.0,Sprinklr,The Biden campaign raised $10 million in 3 hours on the night of the first debate https://t.co/qUGmvqtCSp https://t.co/3aojHPT4rz
178,Forbesv3_1004.csv,91478624.0,01/10/2020 04:58, ,1.31152e+18,en,89.0,2.0,4.0,15.0,Sprinklr,Heesen Yachts launched their 163-foot-long Project Triton https://t.co/oPvnVbxlyt https://t.co/BtFBdD2AXs
176,Forbesv3_1004.csv,91478624.0,01/10/2020 07:58, ,1.31156e+18,en,164.0,3.0,3.0,23.0,Sprinklr,The dramatic reduction in automobile traffic noise in San Francisco during the Covid-19 lockdown has allowed a common songbird to sing songs that are more appealing to the ladies https://t.co/2ICnwlqIfB https://t.co/J7eUkWKi5I
173,Forbesv3_1004.csv,91478624.0,01/10/2020 11:58, ,1.31162e+18,en,169.0,34.0,96.0,27.0,Sprinklr,Chris Wallace said he never thought the face-off between President Donald Trump and Democratic nominee Joe Biden “would go off the tracks the way it did” https://t.co/A0PQKNuAru https://t.co/carc4qyDSr
172,Forbesv3_1004.csv,91478624.0,01/10/2020 12:14, ,1.31163e+18,en,251.0,16.0,16.0,38.0,Sprinklr,Inside LeBron James’ new $36.8 million Beverly Hills mansion: https://t.co/R4HozwSDui by @Noah_Kirsch https://t.co/k6GsVcrqIC
170,Forbesv3_1004.csv,91478624.0,01/10/2020 13:20, ,1.31164e+18,en,38.0,0.0,0.0,7.0,Sprinklr,Here's how the gatekeepers of 500 million tons of cargo power through the pandemic: https://t.co/bE9JawRfQ1 https://t.co/UGXljgJbyr
169,Forbesv3_1004.csv,91478624.0,01/10/2020 13:39, ,1.31165e+18,en,68.0,0.0,2.0,14.0,Sprinklr,Nikola is sticking to the go-to-market plan for battery and hydrogen trucks in the wake of the fraud allegations https://t.co/6Lrc1kC0z7 https://t.co/qrbK3hY7EC
167,Forbesv3_1004.csv,91478624.0,01/10/2020 13:58, ,1.31165e+18,en,76.0,1.0,2.0,14.0,Sprinklr,"A flight attendant went viral on TikTok with her insider travel tips. Here's her advice for airlines, hotels and more: https://t.co/8ny4dsJP3E https://t.co/Lm1CVc7fG2"
163,Forbesv3_1004.csv,91478624.0,01/10/2020 14:53, ,1.31167e+18,en,105.0,3.0,2.0,15.0,Sprinklr,Meet the Scientologist billionaire trying to make a new antibiotic: https://t.co/Hv9xY8FIYC https://t.co/OsiwpUaN1E
161,Forbesv3_1004.csv,91478624.0,01/10/2020 14:58, ,1.31167e+18,en,46.0,1.0,1.0,14.0,Sprinklr,Here's what you need to know about digital transformation https://t.co/rqlz6yuJeG Sponsored by @CroweUSA https://t.co/FxE6sH76pK
155,Forbesv3_1004.csv,91478624.0,01/10/2020 16:13, ,1.31169e+18,en,266.0,37.0,21.0,83.0,Sprinklr,The Irish Supreme Court has ruled that the bread used to make Subway sandwiches cannot be defined as bread https://t.co/VcuLgBDBue https://t.co/LMEKKeoPSK
153,Forbesv3_1004.csv,91478624.0,01/10/2020 16:43, ,1.31169e+18,en,48.0,3.0,2.0,12.0,Sprinklr,The EU has started legal proceedings against the UK after it refused to abandon controversial plans to break international law and the Brexit agreement both parties agreed to last year https://t.co/WsECArRUoo https://t.co/tiQcQh2fQE
152,Forbesv3_1004.csv,91478624.0,01/10/2020 16:58, ,1.3117e+18,en,45.0,2.0,1.0,8.0,Sprinklr,"At 2 PM EST today, Forbes' Chief Content Officer @RandallLane will go Live with the cofounder and CEO of @GLBLCTZN, @Hughcevans. Join the conversation here: https://t.co/jAQT4AlOm9 https://t.co/7bkbJsCAFW"
151,Forbesv3_1004.csv,91478624.0,01/10/2020 17:08, ,1.3117e+18,en,34.0,0.0,1.0,5.0,Twitter Web App,CMOs have not only helped their brands weather trials—they have shown how marketing can support an effective business and community response to moments of extreme challenge
147,Forbesv3_1004.csv,91478624.0,01/10/2020 17:14, ,1.3117e+18,en,26.0,0.0,1.0,6.0,Twitter Web App,"Speaking to Forbes, then-Carbon CMO Treseder, now senior VP and head of global marketing and communications at Peloton, Dara Treseder shared her passionate view on the need to end racial inequality and build and retain diverse talent at all ranks within companies immediately https://t.co/k8j4OaE6gi"
146,Forbesv3_1004.csv,91478624.0,01/10/2020 17:15, ,1.3117e+18,en,26.0,0.0,1.0,1.0,Twitter Web App,"Although she has since left Netflix, Jackie Lee-Joe, previously CMO at BBC Studios, was at the helm when the lockdown caused homebound viewers to consume streaming content in bulk #InfluentialCMOs https://t.co/1cBsY1vxOV"
141,Forbesv3_1004.csv,91478624.0,01/10/2020 17:43, ,1.31171e+18,en,52.0,4.0,4.0,18.0,Sprinklr,"United and American Airlines could furlough 32,000 staff members as Washington struggles to agree on bailout billions https://t.co/EpkLpj7dCj https://t.co/TYf3t2JafZ"
140,Forbesv3_1004.csv,91478624.0,01/10/2020 18:13, ,1.31172e+18,en,40.0,2.0,3.0,7.0,Sprinklr,Huawei has failed to adequately resolve security flaws in the equipment used by the U.K. telecom networks https://t.co/YwRi0znTEy https://t.co/qk8yT7Af2V
138,Forbesv3_1004.csv,91478624.0,01/10/2020 18:32, ,1.31172e+18,en,1.0,0.0,0.0,0.0,Twitter for Advertisers.,"With a pandemic forcing most people to stay at home, companies are rushing to facilitate remote work for their employees. Sponsored by Office Depot"
137,Forbesv3_1004.csv,91478624.0,01/10/2020 18:34, ,1.31172e+18,en,0.0,0.0,0.0,0.0,Twitter for Advertisers.,"Virtually every business will need to pivot dramatically, changing its focus, its messaging and the tools it uses if it wants to keep generating new business through the pandemic. Sponsored by Office Depot"
136,Forbesv3_1004.csv,91478624.0,01/10/2020 18:36, ,1.31172e+18,en,1.0,0.0,0.0,0.0,Twitter for Advertisers.,"As the COVID-19 pandemic takes hold, what’s happening to your company’s carbon footprint? Sponsored by Office Depot"
134,Forbesv3_1004.csv,91478624.0,01/10/2020 18:39, ,1.31172e+18,en,0.0,0.0,0.0,0.0,Twitter for Advertisers.,"In the middle of an unprecedented health and financial crisis, businesses across every sector are being tested, moving quickly to adapt to a changing landscape. Sponsored by Office Depot"
133,Forbesv3_1004.csv,91478624.0,01/10/2020 18:40, ,1.31172e+18,en,0.0,0.0,0.0,0.0,Twitter for Advertisers.,"To thrive during Covid-19, businesses must rely on technology to bridge the gap created by social distancing and stay-at-home guidelines. Sponsored by Office Depot"
132,Forbesv3_1004.csv,91478624.0,01/10/2020 18:42, ,1.31172e+18,en,0.0,0.0,0.0,0.0,Twitter for Advertisers.,"With many people quarantining or limiting contact with others, reaching customers inside their homes is key. Sponsored by Office Depot"
130,Forbesv3_1004.csv,91478624.0,01/10/2020 18:43, ,1.31172e+18,en,401.0,9.0,19.0,85.0,Sprinklr,Harry and Meghan called for the dismantling of structural racism today in an article the pair penned for London newspaper 'The Evening Standard' https://t.co/oHiKxkIrUH https://t.co/lgByz3sAg3
126,Forbesv3_1004.csv,91478624.0,01/10/2020 19:28, ,1.31173e+18,en,77.0,1.0,12.0,25.0,Sprinklr,"According to a report, the FBI caught another Russian-made fake news site targeting U.S. voters https://t.co/e5Jzena5O4 https://t.co/MGVjdgrbKj"
125,Forbesv3_1004.csv,91478624.0,01/10/2020 19:41, ,1.31174e+18,en,46.0,1.0,1.0,16.0,Twitter Media Studio,5 adventurous ideas for a socially-distant road trip https://t.co/Kk09hZRt90 https://t.co/vF6P91G1pe
120,Forbesv3_1004.csv,91478624.0,01/10/2020 21:39, ,1.31177e+18,en,52.0,3.0,7.0,9.0,Sprinklr,"The Trump administration can still sue John Bolton over the bestselling book, a federal judge ruled https://t.co/Pkys33rdMw https://t.co/frSIUFQjSb"
119,Forbesv3_1004.csv,91478624.0,01/10/2020 21:49, ,1.31177e+18,en,32.0,6.0,8.0,6.0,Sprinklr,There's still no deal on the second stimulus as early optimism wanes https://t.co/ANuwI5CchP by @theothersarahh https://t.co/TOYdivcV9r
118,Forbesv3_1004.csv,91478624.0,01/10/2020 21:58, ,1.31177e+18,en,108.0,9.0,16.0,21.0,Sprinklr,Social media accounts known for spreading the QAnon conspiracy theory ambushed model Chrissy Teigen after she posted about losing her baby due to pregnancy complications https://t.co/03kPmbYia8 https://t.co/okMtRLgpQm
117,Forbesv3_1004.csv,91478624.0,01/10/2020 22:13, ,1.31178e+18,en,31.0,1.0,1.0,4.0,Sprinklr,"Join us Oct. 8th at 1 PM for Ep. 1 of the #ForbesCMO Summit Virtual Series to hear leading CMOs discuss how they are building diverse and inclusive teams. Register and gain insights from CMOs at @USAA, @allyfinancial, @Visible and more: https://t.co/uFUzWWAak0 #Marketers #CMO https://t.co/j7HuNmmesW"
116,Forbesv3_1004.csv,91478624.0,01/10/2020 22:28, ,1.31178e+18,en,373.0,13.0,8.0,32.0,Sprinklr,"David Dobrik’s Tesla giveaway drove 100,000 new voter registrations in 1 day https://t.co/woIFUYdN1b https://t.co/6RAYFFsSzM"
114,Forbesv3_1004.csv,91478624.0,01/10/2020 22:43, ,1.31178e+18,en,35.0,0.0,5.0,11.0,Sprinklr,"The pandemic created a plastics problem, but AI can help https://t.co/HbSgHyS03i Sponsored by @MHI_Group https://t.co/Z4fsyn51C7"
113,Forbesv3_1004.csv,91478624.0,01/10/2020 22:43, ,1.31178e+18,en,33.0,1.0,2.0,8.0,Sprinklr,CMOs have not only helped their brands weather trials—they have shown how marketing can support an effective business and community response to moments of extreme challenge. Check out this year's list of The World’s Most #InfluentialCMOs: https://t.co/7FHCYyLdph https://t.co/OWmKm85m8g
111,Forbesv3_1004.csv,91478624.0,01/10/2020 23:13, ,1.31179e+18,en,50.0,0.0,3.0,4.0,Sprinklr,The world is awash in cheap antibiotics—so why is the Scientologist billionaire Bob Duggan working on a new one...and how is he going to make any money? Find out more here: https://t.co/Jc13GYMbz6 https://t.co/PUkn4b6Grk
110,Forbesv3_1004.csv,91478624.0,01/10/2020 23:28, ,1.3118e+18,en,26.0,1.0,2.0,6.0,Sprinklr,Here are America’s Best Insurance Companies in each state 2021: https://t.co/W1qfy4Mdcg https://t.co/g4pkkWb7xo
109,Forbesv3_1004.csv,91478624.0,01/10/2020 23:33, ,1.3118e+18,en,0.0,0.0,0.0,18.0,Forbes Botstream,RT @ForbesCrypto: EXCLUSIVE: Systemically important bank shares vetting framework used to determine blockchain value and feasibility: https…
